Population,Family.Unique,Block.ID,HabitatType,Region,No.Days.to.Germ,Dist.from.cg.km,Germination.Y.N,Survival.Y.N,Survival.Y.N.2017,Flower.Y.N.2016,Flower.Y.N.2017,No.Flowers.2016,Total.Flowers.2017,Fruit.Y.N.2016,Fruit.Y.N.2017,No.Fruit.2016,No.Fruit.2017,sm,sm.2,Surv2017,sm2017,PC1,PC2,flw.no2017
AB-LL,AB-LL_34,12,Prairie,Prairie,12,1348.389,1,1,1,0,1,0,1,0,1,0,1,0,33,1,33,-3.828798263,0.090659321,1
AB-LL,AB-LL_34,2,Prairie,Prairie,11,1348.389,1,1,1,0,1,0,2,0,1,0,1,0,126,1,126,-3.828798263,0.090659321,2
AB-LL,AB-LL_34,3,Prairie,Prairie,9,1348.389,1,1,1,0,1,0,7,0,1,0,2,0,170,1,170,-3.828798263,0.090659321,7
AB-LL,AB-LL_34,4,Prairie,Prairie,13,1348.389,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,-3.828798263,0.090659321,1
AB-LL,AB-LL_34,5,Prairie,Prairie,10,1348.389,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,-3.828798263,0.090659321,1
AB-LL,AB-LL_34,6,Prairie,Prairie,10,1348.389,1,1,1,0,1,0,4,0,1,0,3,0,254,1,254,-3.828798263,0.090659321,4
AB-LL,AB-LL_34,7,Prairie,Prairie,8,1348.389,1,1,1,0,1,0,3,0,1,0,2,0,115,1,115,-3.828798263,0.090659321,3
AB-LL,AB-LL_34,8,Prairie,Prairie,11,1348.389,1,1,1,0,1,0,2,0,1,0,2,0,47,1,47,-3.828798263,0.090659321,2
AB-LL,AB-LL_34,9,Prairie,Prairie,8,1348.389,1,1,1,0,1,0,2,0,0,0,0,0,0,1,0,-3.828798263,0.090659321,2
AB-LL,AB-LL_40,1,Prairie,Prairie,9,1348.389,1,1,1,0,1,0,6,0,1,0,5,0,574,1,574,-3.828798263,0.090659321,6
AB-LL,AB-LL_40,11,Prairie,Prairie,13,1348.389,1,1,1,0,1,0,9,0,0,0,0,0,0,1,0,-3.828798263,0.090659321,9
AB-LL,AB-LL_40,12,Prairie,Prairie,11,1348.389,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,-3.828798263,0.090659321,1
AB-LL,AB-LL_40,2,Prairie,Prairie,9,1348.389,1,1,1,1,1,5,6,0,1,0,5,0,74,1,74,-3.828798263,0.090659321,6
AB-LL,AB-LL_40,3,Prairie,Prairie,8,1348.389,1,1,1,1,1,1,11,0,1,0,11,0,1003,1,1003,-3.828798263,0.090659321,11
AB-LL,AB-LL_40,4,Prairie,Prairie,11,1348.389,1,1,1,0,1,0,7,0,1,0,7,0,450,1,450,-3.828798263,0.090659321,7
AB-LL,AB-LL_40,5,Prairie,Prairie,9,1348.389,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,-3.828798263,0.090659321,1
AB-LL,AB-LL_40,6,Prairie,Prairie,12,1348.389,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,-3.828798263,0.090659321,1
AB-LL,AB-LL_40,8,Prairie,Prairie,12,1348.389,1,1,1,0,1,0,8,0,1,0,1,0,24,1,24,-3.828798263,0.090659321,8
AB-LL,AB-LL_5,1,Prairie,Prairie,9,1348.389,1,1,1,0,1,0,4,0,1,0,1,0,37,1,37,-3.828798263,0.090659321,4
AB-LL,AB-LL_5,10,Prairie,Prairie,9,1348.389,1,1,1,0,1,0,5,0,1,0,4,0,226,1,226,-3.828798263,0.090659321,5
AB-LL,AB-LL_7,12,Prairie,Prairie,12,1348.389,1,1,1,0,1,0,3,0,1,0,1,0,33,1,33,-3.828798263,0.090659321,3
AB-LL,AB-LL_5,12,Prairie,Prairie,10,1348.389,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,-3.828798263,0.090659321,1
AB-LL,AB-LL_5,2,Prairie,Prairie,9,1348.389,1,1,1,0,1,0,21,0,1,0,15,0,993,1,993,-3.828798263,0.090659321,21
