Population,Family.Unique,Block.ID,HabitatType,Region,Dist.from.cg.km,Germination.Y.N,Survival.Y.N,Surv2017,Surv2018,Flower.Y.N.2016,Flower.Y.N.2017,No.Flowers.2016,Total.Flowers.2017,Fruit.Y.N.2016,Fruit.Y.N.2017,No.Fruit.2016,No.Fruit.2017,sm,sm.2,sm.3,Flowering.Y.N.2018,Total.Flowers.2018,Fruit.Y.N.2018,No.Fruit.2018,sm.tot,No.Days.to.Germ,Dist.from.cg.km.1,PC1,PC2,flw.no2018
AB-LL,AB-LL_5,7,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,11,0,1,0,8,0,636,9,1,2,1,1,645,17,1348.389,-3.828798263,0.090659321,2
AB-LL,AB-LL_5,8,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_5,9,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,10,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_7,1,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,3,0,1,0,1,0,46,0,1,1,0,0,46,14,1348.389,-3.828798263,0.090659321,1
AB-LL,AB-LL_7,10,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,11,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_7,11,Prairie,Prairie,1348.389,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_7,5,Prairie,Prairie,1348.389,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_7,2,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,3,0,0,0,0,0,0,176,1,2,1,2,176,9,1348.389,-3.828798263,0.090659321,2
AB-LL,AB-LL_7,3,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,9,0,1,0,7,0,404,0,0,0,0,0,404,10,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_7,4,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,14,1348.389,-3.828798263,0.090659321,1
AB-LL,AB-LL_7,9,Prairie,Prairie,1348.389,1,1,1,1,1,1,1,2,0,1,0,1,0,151,316,1,4,1,3,467,12,1348.389,-3.828798263,0.090659321,4
AB-LL,AB-LL_7,6,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,1,0,1,0,1,0,41,0,0,0,0,0,41,13,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_7,7,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,9,0,1,0,8,0,642,500,1,2,1,2,1142,9,1348.389,-3.828798263,0.090659321,2
AB-LL,AB-LL_7,8,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,5,0,1,0,4,0,153,120,1,1,1,1,273,14,1348.389,-3.828798263,0.090659321,1
AB-RO,AB-RO_18,10,Prairie,Prairie,1058.689,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1058.689,-4.383976233,-3.064623951,0
AB-RO,AB-RO_18,2,Prairie,Prairie,1058.689,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1058.689,-4.383976233,-3.064623951,0
AB-RO,AB-RO_18,4,Prairie,Prairie,1058.689,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,15,1058.689,-4.383976233,-3.064623951,1
AB-RO,AB-RO_8,1,Prairie,Prairie,1058.689,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1058.689,-4.383976233,-3.064623951,0
AB-RO,AB-RO_8,12,Prairie,Prairie,1058.689,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1058.689,-4.383976233,-3.064623951,0
AB-RO,AB-RO_8,4,Prairie,Prairie,1058.689,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1058.689,-4.383976233,-3.064623951,0
AB-RO,AB-RO_8,5,Prairie,Prairie,1058.689,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1058.689,-4.383976233,-3.064623951,0
AB-RO,AB-RO_8,6,Prairie,Prairie,1058.689,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1058.689,-4.383976233,-3.064623951,0
AB-RO,AB-RO_8,7,Prairie,Prairie,1058.689,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1058.689,-4.383976233,-3.064623951,0
AB-RO,AB-RO_8,8,Prairie,Prairie,1058.689,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1058.689,-4.383976233,-3.064623951,0
CAR-NBA,CAR-NBA_7,6,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,4,8,0,1,0,6,0,403,29,1,1,1,1,432,9,1368.191,2.575403033,1.481069919,1
CAR-NBA,CAR-NBA_1,1,Alvar,GL_alvar,1368.191,1,1,1,1,1,1,27,37,0,1,0,27,0,2887,3315,1,30,1,27,6202,12,1368.191,2.575403033,1.481069919,30
